Name	Region	City Count	Area	Population	Density	Density_Log2	Pop Bas Resid Reg	Hou Bas Resid Reg	Pop in	Pop out	Pop 0-4	Pop 5-14	Pop 15-19	Pop 20-29	Pop 30-44	Pop 45-49	Pop 50-54	Pop 55-59	Pop 60-64	Pop 65-	Municipal workers	New const hous stoc	Priv establishments	Employees priva busi	Total Retail Store	Ann Sales Store	Ann Sales Ret Store	Ann Ship ind prod	Agriculture output	Taxable income	Local tax rev	Exp Total	Ownership car	Educational facility	Books Station Retail	Libraries	Nursery	Community center	Hospital	Nat man Comp Index	Population index	Nat man Per capita	Day/Night pop ratio	Bas Resid Reg growth	Population density	Cens househ (to single)	Ind_1_agriculture	Ind_2_mine_cons_manu	Ind_3_busi_pub_serv	Ret shop ann grow	Income gap	Incr local tax rev	Exp Parliament	Exp General	Exp Livelihood	Exp Health	Exp Labor	Exp Agriculture	Exp Busi_Indust	Exp Construction	Exp Fire	Exp Education	Exp Disaster Recovering	Exp Bonds
Fukuoka	6	29	82.75310345	89438.13793	1080.782886	10.07786102	393,1819	18,1567	411,1871	741,1853	494,1895	186,1861	111,1843	232,1898	388,1874	30,1816	89,1825	86,1884	71,1718	20,1450	66,1028	204,1880	16,1857	89,1886	24,1860	220,1888	55,1806	18,1605	16,1348	159,1543	66,1751	15,1673	131,1824	39,1776	211,1732	240,1747	123,1330	128,1473	437,1829	271,1846	394,1819	34,1664	75.5,1879	160,1887	359,1844	298.5,1889	70,1705	19,1128.5	726,1888.5	20,1810	158.5,1543	544.5,1620	80,1529	2,1770	41,1878	182,1750	289,1868	167,1774	6,1834	45,1503	48,1495	14,1775	472.5,1729	115,1762
Fukuchiyama/Maizuru	4	8	321.9125	48751.125	151.4421621	7.242623103	93,1459	365,1524	86,1370	40,1389	13,1592	157,1535	630,1663	245,1037	24,1171	91,1192	152,933	253,1531	727,1694	920,1848	663,1562	21.5,1554	966,1835	475,1601	1217,1843	321,1641	1177,1544	101,1517	483,1107	208,1171	169,1359	715,1694	299,1368	1057,1767	900.5,1823	240,1682	620,1865	686,1815	209,1415	168,1549	94.5,1459	837,1756	615,1729	224,1126	312,961	379,1309	596,1774.5	153,1792.5	455,1397.5	558.5,1404.5	210.5,1170.5	63,1639.5	611,1749	241,1728	864,1626	550,1710	289,1773	754,1784	887,1481	372,1642	603,1738	219,1611	472.5,1780	533,1722
Fukushima(Iwaki)	1	6	264.3366667	77205.66667	292.0732399	8.190186373	485,1830	926,1791	187,924	158,727	288,1312	631,1465	949,1685	547,1277	374,1251	292,1277	786,1644	704,1867	241,1435	682,1433	735,1443	252,1114	481,1085	214,1568	714,1279	369,1660	258,1456	919,1573	814,1592	392,1258	236,1190	241,822	1034,1407	70,1390	548,1392	240,1176	67,543	673,1625	209,1587	284,1814	487.5,1830	188,937.5	247.5,1623	264.5,1263.5	686.5,1101	123,1394	781.5,1468.5	609.5,1835	131.5,1489	579,1772	391.5,1258.5	275,1724.5	285,1304	566,1281	71,508	85,1573	660,1252	481,1055	227,1330	68,1118	102,1135	453,1425	472.5,1351	368,1078
Chooshi	2	5	85.734	44648.8	520.7828866	9.024538231	647,1367	1090,1811	40,542	57,499	258,1119	395,1106	579,1190	557,1190	761,1051	506,1641	1356,1533	1081,1848	982,1797	743,1232	1073,1429	283,1181	539,1697	103,1356	765,1703	674,1632	520,1431	791,1341	1519,1757	787,1063	479,914	125,883	1415,1696	197,1413	259,1029	740,1528	611,1311	312,683	614,1123	545,1312	645,1366	465.5,700.5	103.5,1129	224,1126	1060,1338	55.5,1167.5	1101.5,1505	774,1344	455,796.5	438,994	785,1063	476.5,1391.5	585,1163	306,1049	10,327	1111,1434	289,1063	637,1106	274,876	50,406	407,1360	367,1804	472.5,1323	237,601
Tateyama	2	6	116.0016667	28201.66667	243.1143231	7.925491082	379,1197	375,961	193,1364	208,1634	73,781	60,425	64,1825	104,1319	184,845	27,200	137,965	838,1656	1689,1888	1395,1811	62,1584	550,1412	1075,1682	164,1610	1305,1641	402,1485	360,1613	81,741	786,1607	588,1004	393,985	311,1080	494,931	174,1629	313,1674	240,1375	867,1402	762,1341	209,1777	185,1180.5	377,1197	83,1251	358,1698	189.5,1441	823,1163	733,1794.5	978.5,1656.5	153,465	796.5,1544.5	401.5,1665.5	587,1005	696,1816	687,1451	361,1502	163,766	875,1556	289,718	592,997	710,1205	7,407	1235,1512	144,1604	1153,1627	480,1171
Suntoo	3	21	137.262381	60480.61905	440.6205009	8.783392811	386,1805	53,1443	71,1797	241,1764	102,1864	56,1781	51,1737	43,1812	192,1789	34,1513	122,1504	60,1755	152,1895	152,1812	322,1809	199,1758	446,1836	467,1810	241,1823	357,1819	200,1762	27,1843	270,1239	444,1744	542,1845	78,1514	202,1640	487,1842	103,1564	240,1844	79,1584	128,1799	209,1809	324,1820	385,1805	175.5,1813	139,1747.5	135,1814	343,1663	328.5,1816	373.5,1310	55,1852	527,1881	110,1726	443.5,1748	112,1590	259,1411	100,1473	39,1325	65,1580	289,1892	226,1381	10,1838	5,1533	360,1682	10,1716	472.5,1809	118,1617
Satsumasendai	6	7	295.9828571	40173.14286	135.7279379	7.084573902	530,1507	225,1165	713,1219	804,1271	400,1581	461,1537	344,1452	294,826	171,801	244,1328	1025,1749	692,1263	199,1061	1064,1676	441,1617	427,1178	761,1281	167,1298	1193,1503	571,1218	644,1376	813,1260	961,1824	49,532	73,888	865,1644	456,1095	418,1381	332,1454	240,1814	992,1720	531,1585	209,1838	572,1668	531,1507	800,1508	853.5,1664.5	351,1055.5	493,992	954.5,1620	907,1876.5	383.5,1206	13,1092.5	282,1390.5	49.5,531	70,1573	716,1597	825,1401	1121,1817	254,1329	289,1859	966,1732	424,1423	117,1754	509,1605	48,1461	1334,1819	942,1624
Ryoomoo	2	12	119.435	72250.33333	604.9343436	9.240634758	520,1769	784,1754	255,1457	148,1596	447,1738	710,1616	625,1561	723,1749	940,1596	333,1244	285,1729	605,1832	1075,1858	154,1140	1056,1875	941,1852	422,1539	697,1863	81,1449	619,1755	125,1656	1221,1874	288,1638	992,1648	886,1710	82,705	1704,1891	60,1201	82,832	240,1653	141,1038	128,1117	209,1205	474.5,1810	521,1769	301,1629.5	272.5,1813	605.5,1644	942,1550	181.5,1658	227.5,1573	1344,1887.5	163.5,859.5	58,1721	993,1652.5	1,1808.5	318,1338	39,1237	44,908	61,1351	289,1839	277,929	162,1531	129,1333	109,1351	34,1469	472.5,1137	76,944
Aizu	1	17	318.8641176	17740.29412	55.63590613	5.797944361	13,1600	344,1896	109,1425	151,1564	4,1403	9,1751	9,1726	5,894	2,974	9,1693	306,1799	5,1845	26,1512	845,1898	60,1881	21.5,1150	83,1882	134,1791	322,1846	42,1601	122,1649	63,1815	402,1707	12,941	5,1897	494,1888	342,1290	676,1834	36,1839	240,1431	28,1862	581,1814	209,1889	12,1581	13.5,1600	206.5,1725	178.5,1817	19.5,986	1,1050	4,1442.5	373.5,1872.5	4,1542	23,1893	43,1795	12,940.5	42,1460	464,1892	518,1872	120,1774	153,1882	289,1834	654,1656	368,1899	208,1864	401,1891	755,1875	472.5,1737	831,1878
Himeji	4	13	201.3569231	77263.15385	383.712428	8.583881683	569,1889	740,1759	33,1156	68,1026	406,1836	507,1822	470,1781	754,1691	271,1628	122,1008	202,1634	285,1346	841,1841	166,1501	188,1088	432,1704	405,1688	334,1821	323,1533	239,1714	235,1759	941,1823	165,1238	646,1385	717,1659	50,1509	606,1634	276,1778	445,1634	240,1584	144,1792	128,1458	209,1789	407.5,1892	570,1889	408.5,1618.5	224.5,1800.5	264.5,1644	430.5,1611	107.5,1040.5	227.5,1160.5	1344,1852	346,1202.5	358.5,1728	645.5,1384.5	426.5,1833.5	212,1394	182,1648	85,1501	319,1749	289,1853	357,1545	72,1494	8,1654	63,1608	70,1829	472.5,1482	235,1516
