Name	Region	City Count	Area	Population	Density	Density_Log2	Pop Bas Resid Reg	Hou Bas Resid Reg	Pop in	Pop out	Pop 0-4	Pop 5-14	Pop 15-19	Pop 20-29	Pop 30-44	Pop 45-49	Pop 50-54	Pop 55-59	Pop 60-64	Pop 65-	Municipal workers	New const hous stoc	Priv establishments	Employees priva busi	Total Retail Store	Ann Sales Store	Ann Sales Ret Store	Ann Ship ind prod	Agriculture output	Taxable income	Local tax rev	Exp Total	Ownership car	Educational facility	Books Station Retail	Libraries	Nursery	Community center	Hospital	Nat man Comp Index	Population index	Nat man Per capita	Day/Night pop ratio	Bas Resid Reg growth	Population density	Cens househ (to single)	Ind_1_agriculture	Ind_2_mine_cons_manu	Ind_3_busi_pub_serv	Ret shop ann grow	Income gap	Incr local tax rev	Exp Parliament	Exp General	Exp Livelihood	Exp Health	Exp Labor	Exp Agriculture	Exp Busi_Indust	Exp Construction	Exp Fire	Exp Education	Exp Disaster Recovering	Exp Bonds
Okhotsk	1	8	244.075	51157.125	209.5959234	7.711466847	118,1851	857,1886	180,1483	80,1473	116,1819	66,1801	1120,1878	681,1728	75,1194	878,1798	1111,1829	758,1870	67,507	260,1633	301,1622	126,1613	614,1372	60,1832	663,1422	27,1588	132,1506	117,1596	528,1677	117,1233	229,1879	414,1685	1142,1515	300,1605	569,1638	240,1795	152,1357	128,1369	209,1759	61.5,1847	122.5,1851	278,1401.5	567.5,1847	77.5,1715	122,999	100,1364.5	596,1573	945,1872.5	10,1150.5	24,1036	118,1231.5	14,1241.5	210,1821	558,1852	548,1490	667,1457	289,1690	538,1782	518,1809	687,1795	129,1742	469,1771	472.5,1859	6,1538
Okhotskoye shore	0	18	593.915	17364.27778	29.23697461	4.869722127	30,1594	17,1199	511,1854	1072,1843	99,1243	79,1186	13,1011	40,1830	190,1202	252,1870	265,1639	599,1817	17,1729	693,1765	519,1863	74,1035	400,1639	333,1669	430,1807	441,1787	836,1760	149,1738	1456,1889	496,1506	133,1299	1008,1886	641,1819	377,1877	599,1888	240,1878	28,1805	128,1800	209,1873	35,1625	29.5,1594	478,1845	929.5,1736.5	29,1126	9.5,537.5	460.5,1800	841.5,1880	36.5,1415	7.5,1544.5	75.5,1733	498.5,1510.5	6,1391.5	563,1880	617,1859	513,1843	81,1835	289,1886	862,1894	862,1765	1127,1862	857,1893	746,1897	472.5,1801	1182,1893
Saitama	7	21	39.45761905	108791.619	2757.176476	11.4289759	881,1781	357,1729	531,1846	420,1814	865,1881	571,1808	284,1774	1205,1764	1161,1873	99,1880	13,1733	55,1618	127,1806	34,575	230,1640	875,1892	45,1695	205,1868	8,1466	577,1867	401,1795	80,1550	233,1463	1020,1794	1060,1628.5	4,464.5	87,1838	117,1689	142,1573	240,1320	74,725	339,902	442,1575	751.5,1735	881.5,1781	30,1322.5	11,1863	913.5,1881	1230,1860	174,1626.5	70,1043.5	153,1687	346,1846.5	282,1732	1019.5,1793.5	523.5,1733	114.5,738	65,1214	2,458.5	33,1022.5	803,1776	176,906	80,896.5	281,1461.5	200,802	21,844	472.5,1051	104,376.5
Ichinomiya	8	2	72.04	239811.5	3328.865908	11.70081504	1504,1858	1186,1202	745,961	205,579	1554,1622	1610,1664	1033,1166	1147,1165	1594,1637	918,986	148,177	209,230	946,1240	418,451	797,937	1416,1563	572,833	569,833	375,435	1077,1577	992,1246	1029,1132	311,380	1447,1571	1034,1052	27,34	912,960	590,1310	749,824	630,648	754,774	446,529	520,664	1410.5,1841	1504,1858	296.5,327	277,408.5	1556.5,1600	1651,1652	534,580.5	227.5,227.5	1484.5,1591.5	1030.5,1150.5	1259.5,1508.5	1447,1573.5	1241.5,1315.5	172,471	1,233	300,355	75,387	1449,1539	256,569	425,669	410,497	81,85	30,61	472.5,1007	105,149
Hachiooji	7	3	128.1633333	249477	1946.555177	10.92670752	894,1890	311,1219	600,1649	686,1576	360,1194	743,1027	351,1796	1005,1798	713,1773	1239,1838	84,1652	41,1399	646,877	330,967	499,747	701,1698	101,1323	669,1162	34,802	688,1469	349,1353	909,1705	191,310	1448,1784	1086,1539	282,877	122,589	464,1116	391,856	563,1368	495,803	270,1532	568,1190	892,1875	893.5,1890	236,1135	415.5,1180	605.5,1715	766,1748	1284.5,1768.5	227.5,227.5	609.5,1591.5	1092.5,1629.5	888,1558	1447,1788	696,1639.5	84,968	40,1324	296,1326	566,1544	1080,1684	102,526	218,587	453,962	350,1272	414,969	1040,1388	57,1197
Yatsushiro	6	15	178.7866667	20101.2	112.4312029	6.812898671	40,1622	423,1724	170,1369	145,1551	87,1828	47,1697	471,1760	112,755	28,746	184,1560	1113,1688	430,1721	132,1466	851,1836	118,1420	67,909	29,1680	11,1620	7,1629	13,1427	8,1657	30,1604	770,1752	10,573	9,1409	616,1861	377,894	7,1796	36,1745	240,1725	1400,1869	423,1892	209,1886.5	110.5,1666	41,1622	98.5,1888	44.5,1784.5	160,1376	27,1120	68.5,1394	841.5,1746	465,1128.5	202,1442.5	22,1777.5	10,573	240.5,1733	409,1886	523,1840	994,1786	206,1838	289,1315	820,1866	189,1798	44,1852	532,1842	11,1777	472.5,1868	586,1873
Yawatahama	5	5	294.766	32982.8	111.894859	6.805999943	536,1184	472,1074	257,457	258,907	97,951	187,1200	382,1236	160,537	122,739	256,809	684,1479	893,1343	703,1644	1241,1792	615,1131	375,602	1318,1690	580,1232	1549,1761	199,1285	54,1341	214,801	1134,1650	225,686	143,1775	1110,1731	237,729	1368,1771	1089,1648	1353,1635	1125,1875	1552,1842	209,1683	597.5,1387	536,1185	1478,1805	860,1613	224,458.5	432,1016	733,1563.5	1263,1828.5	383.5,1038.5	108,969	353.5,643.5	224,688	65,803.5	901,1545	893,1652	902,1627	975,1727	289,1556	1220,1779	331,1339	473,1668	1031,1884	877,1779	472.5,1803	1184,1639
Hachinohe	1	22	242.4122727	29382.68182	121.2095472	6.921359529	116,1796	492,1785	4,1668	144,1828	121,1826	131,1831	132,1832	152,1607	84,1505	412,1877	1013,1873	353,1851	68,1623	274,1747	106,1852	21.5,1402	119,1492	32,1818	199,1675	146,1727	76,1671	21,1889	747,1880	14,1102	34,1891	562,1714	363,1620	109,1722	193,1578	240,1841	28,1841	128,1765	209,1360	35,1786	113.5,1796	11,1841	6,1853	58,1797.5	164.5,1327	128.5,1796.5	596,1887.5	202.5,1792.5	7.5,1593	139.5,1766	14,1101	20.5,1869	282,1783	314,1757	588,1739	158,1701	289,1627	525,1800	163,1804	91,1844	357,1855	371,1802	472.5,1869	461,1740
Ueda	3	16	158.1625	27053.25	171.0471825	7.41825053	22,1687	366,1887	44,1772	73,1632	230.5,1675	368,1840	277,1892	41,1050	67,1408	133,1806	339,1788	17,1494	40,1536	542,1825	527,1884	21.5,1894	491,1812	5,1815	156,1881	55,1675	117,1793	6,1834	613,1893	243,1587	375,1898	540,1837	1049,1865	123,1846	36,1462	240,1896	804,1889	642,1895	209,1762	201,1821	21,1687	850.5,1892	201,1829	160,1782.5	120,1157	268.5,1394	596,1892	2.5,1872.5	2,1826.5	89,1748	243,1590.5	123.5,1814	309,1863	302,1878	136,1875	210,1819	289,1743	821,1810	1090,1766	143,1853	111,1766	269,1892	472.5,1805	43,1853
Joetsu	3	3	721.6933333	97372.66667	134.9224971	7.075987114	1047,1758	1317,1643	108,459	21,654	541,1268	541,1315	391,1527	372,822	583,1022	191,1554	767,934	927,1096	656,1243	952,1565	1099,1484	294,1063	1232,1511	1377,1532	1250,1387	892,1538	1001,1539	1331,1745	717,960	969,1211	1137,1337	1250,1363	850,1298	842,1608	914,1360	885,1508	1328,1607	1102,1636	825,953	1077.5,1793	1047.5,1758	1123.5,1520.5	1157,1320.5	458.5,986	437,863	428.5,728	841.5,1043.5	1344,1641.5	594.5,969	296.5,1424	969,1212	230,323.5	367,865	1047,1305	501,1001	799,1202	868,1882	1131,1323	1762,1861	1230,1788	1046,1195	1022,1468	1481,1714	1054,1357
Kurume/Oomuta	6	21	91.02952381	54401.71429	597.6271435	9.223101865	440,1835	339,1846	430,1701	466,1684	262,1849	584,1851	582,1870	716,1752	227,1568	149,1679	382,1831	401,1887	245,1813	216,1564	44,1390	681,1817	120,1737	108,1779	279,1421	207,1752	236,1616	461,1819	384,1610	193,1309	270,1598	100,1135	509,1465	122,1556	36,1419	240,1715	238,1480	128,1344	209,1802	443.5,1825	439.5,1835	185,1439.5	118,1807	531,1870.5	741,1507	114,1412	373.5,1542.5	256.5,1761	202,1764.5	91,1634	193.5,1308.5	198.5,1862	273,1339	105,1189	112,1715	176,1562	289,1718	348,1546	23,1632	12,1528	42,1236	6,1813	472.5,1709	44,1160
Chiba	7	24	78.34083333	83536	1066.314927	10.05841787	361,1822	205,1678	126,1841	20,1755	96,1784	93,1859	178,1866	544,1791	250,1864	321,1864	80,1835	104,1833	179,1870	36,1526	92,1269	234,1864	7,1485	13,1839	27,1748	116,1844	130,1774	174,1875	325,1517	697,1755	335,1774	2,876	172,1849	9,913	74,1487	240,1670	77,1391	323,976	209,1864	159.5,1858	364.5,1822	13,1552	24.5,1854	399,1863.5	518,1772	75.5,1780.5	70,1310	202.5,1484.5	726,1826.5	71,1817	697.5,1759	40,1527.5	130.5,1602	8,1264	6,755	39,1369	289,1279	240,1565	14,1486.5	21,1235.5	375,1578	82,1559	472.5,1569	52,1176
Tsuchiura/Kashima	2	12	134.7141667	71816.16667	533.1003297	9.058263264	701.5,1752	710,1843	214,1798	235,1692	516,1798	664,1770	731,1739	1171,1856	523,1753	214,1671	481,1785	117,1663	133,1662	50,1082	325,1714	412,1789	110,1000	484,1748	155,975	294,1769	334,1712	1044,1881	760,1756	609,1726	566,1810	149,868	1627,1895	114,817	90,1210	240,1349	304,1127	466,1446	209,1497	517,1749	703,1752	271.5,1668	234.5,1778	605.5,1839.5	918.5,1454	352,1780.5	596,1656.5	312,1687	131.5,1629.5	116.5,1754	608,1729.5	55,1785.5	246,1180	116,1390	35,961	45,1007	289,1163	388,1084	196,820	209,1608	582,1674	121,1754	472.5,1074	67,856
Ooita	6	12	331.5358333	78080.75	235.5122498	7.879658291	84,1879	140,1108	118,1568	192,1689	141,1659	110,1499	227,1276	284,1571	58,1421	90,1261	406,1888	442,1880	570,1827	268,1815	165,1647	168,1868	346,1620	125,1502	590,1873	245,1711	90,1509	72,1833	275,1784	28,1209	11,1520	138,1647	319,1193	482,1726	812,1883	240,1737	478,1549	366,1683	209,1828	92.5,1883	87.5,1879	515,1767	567.5,1650	264.5,1600	377.5,1386	564,1770	227.5,1803	110,1128.5	245.5,1846.5	401.5,1576.5	27.5,1212	104,1724.5	221,1704	189,1709	401,1683	105,1637	289,1266	347,1772	447,1504	171,1136	186,1548	25,1640	472.5,1871	100,1736
Osaka Narrow	9	24	9.254583333	105214.7083	11368.92981	13.47280884	1198,1748	1,563	888,1899	937,1891	185,1868	8,1741	14,825	481,1899	771,1889	134,1856	6,765	12,1482	91,1891	35,1629	31,1822	745,1895	398,1894	353,1898	220,1898	861,1897	380,1817	105,1757	13,41	1333,1356	1818,1841	1478,1501	2,329	17,1879	704,1886	517,910	56,1040	128,128	577,1761	1247,1872	1198.5,1748	41.5,1890	391.5,1892	853.5,1895	1680,1899	1210.5,1892	70,70	110,1484.5	1256.5,1862	50.5,1752	1343,1343	275,1442	46,69	855,878	1847,1870	1254,1277	588,621	16,39	1677,1700	1704,1727	813,836	1031,1054	472.5,472.5	1330,1353
Oodate	1	5	641.686	32908	51.28364964	5.680427031	107,1421	537,1173	94,574	135,519	22,593	54,511	123,586	27,337	90,653	187,1508	902,1428	637,1659	786,1584	1446,1868	214,907	58,846	922,1381	54,1763	1172,1441	128,1532	214,1394	442,1731	1105,1682	141,524	75,1650	732,1687	585,823	267,1683	1187,1709	1394,1884	380,1422	128,1734	209,1504	219.5,1467.5	107,1420.5	658,1802.5	769.5,1734	77.5,681.5	76.5,542	778,1339.5	1043.5,1389	945,1484.5	346,1092.5	679,1193	140,524	118.5,1890	559,1774	738,1635	945,1700	1063,1783	1376,1870	868,1794	734,1826	501,1456	611,1799	522,1369	472.5,1852	729,1723
Oyama	2	10	115.222	67308.4	584.1627467	9.190226547	324.5,1682	1072,1892	77,1332	63,1342	408,1585	458,1704	945,1747	683,1805	888,1563	387,1825	1271,1865	534,1883	263,1674	156,858	928,1623	792,1772	153,1387	610,1576	188,1095	209,1719	306,1561	1279,1684	908,1693	693,1608	581,1590	6,789	941,1893	77,1081	105,777	240,1409	57,922	335,1548	612,1671	254,1716.5	325.5,1682	546.5,892.5	128.5,1623	681.5,1684	867.5,1365	65,1146	696,1505	1038.5,1761	48.5,1092.5	462.5,1347.5	692,1610.5	696,1706.5	243,1487	374,1268	11,436	55,1099	289,1858	492,1168	195,1322	64,1146	262,1219	226,1310	472.5,1438	24,756
Odakyu/Den-en-toshi sen	7	8	25.7875	272560.5	10569.48134	13.36761696	1395,1899	62,1014	1771,1853	1620,1835	841,1862	214,1889	102,1629	1116,1886	1806,1893	1585,1890	76,620	6,84	35,427	4,492	134,1551	1233,1788	3,205	42,1470	4,305	407,1704	282,1708	44,1310	57,151	1830,1888	1174,1760	162,979	41,211	22,329	156,1122	486,853	68,352	128,371	420,596	1154.5,1894	1395,1899	10,155	7,1168.5	1441,1896.5	1769,1875	794,1852	70,227.5	55,609.5	1544.5,1870	276,1327.5	1838,1892	1146,1733	3,629	15,902	811,1218	201,1094	767,1269	51,126	102,1666	160,1518	15,720	284,962	472.5,472.5	15,1265
Odawara/Hiratsuka	7	14	59.49928571	60123.21429	1010.48632	9.980834076	411,1807	70,1535	449,1859	538,1869	54,1789	122,1826	233,1540	396,1684	543,1781	123,1569	71,1542	235,1824	496,1880	192,1478	317,1882	402,1832	176,1867	43,1873	204,1813	230,1674	194,1725	120,1782	72,1119	1382,1797	1031,1888	23,1566	264,1548	92,1768	36,960	240,1731	63,1446	128,1516	209,1484	319.5,1803	409.5,1806.5	76,1244.5	12.5,1858	458.5,1644	379,1670	168,1868.5	227.5,1101.5	24,1687	859.5,1888.5	233,1802	1381.5,1801	160.5,1765.5	188,1607	41,1700	18,971	109,1697	289,1693	311,1387	155,1573	204,1592	435,1882	55,1732	472.5,1833	27,1253
Yamaguchi/Ube	5	5	421.058	116409	276.46785	8.110967911	917,1742	389,855	476,1491	559,1436	397,1352	525,1374	456,1493	438,1262	411,1215	178,995	483,811	536,1511	824,1593	738,1553	528,1579	362,1592	459,1163	1077,1558	798,1519	531,1749	729,1472	712,1837	461,1191	752,1398	910,1417	213,1348	1181,1585	562,1697	919,1597	528,1705	528,1511	486,1504	1258,1532	1104,1767	917.5,1742	558.5,1602.5	899,1634	351,1376	415.5,1266	954.5,1664	596,1160.5	256.5,1484.5	726,1704	524,1347.5	751.5,1396.5	452,1355.5	245,1236	98,1515	558,1145	57,1469	828,1571	635,1442	880,1282	658,960	253,1189	123,922	472.5,1277	467,1386
Yamagata	1	14	187.0814286	40463.92857	216.2904618	7.756826235	314,1800	1106,1883	30,1476	9,1275	295,1655	279,1337	765,1722	545,1681	97,1234	545,1702	769,1784	537,1754	116,999	732,1673	1058,1746	167,1635	390,1489	39,1715	646,1474	165,1790	98,1667	342,1825	670,1680	267,1395	213,1334	160,1575	844,1676	3,1655	123,1565	240,1786	75,1709	831,1867	209,1680	319.5,1794	315.5,1800	420.5,1831	12.5,1747.5	189.5,1556.5	131.5,1282	5,1458	696,1746	383.5,1687	48.5,1629.5	178,1628.5	267.5,1396.5	230,1527.5	359,1618	206,1388	25,1275	2,1599	1282,1728	524,1523	516,1795	104,1448	36,1566	131,1833	472.5,1484	423,1658
Kawasaki	7	3	27.51	206921.6667	7521.689083	12.87684096	1659,1810	76,222	1675,1817	1595,1658	1356,1662	308,686	134,241	1777,1823	1769,1850	1041,1668	235,412	206,400	386,548	149,346	913,1346	1835,1867	267,1355	1135,1841	234,841	1395,1850	668,1747	1014,1871	102,152	1834,1851	1724,1756	761,978	29,72	75,181	339,637	492,881	174,264	128,314	485,903	1607,1839	1658.5,1810	337.5,1553	494.5,1843	1600,1876	1724,1879	1726,1810.5	70,70	774,1038.5	1351,1544.5	1140.5,1755	1838,1857.5	1146,1527.5	12,99	25,897	1094,1219	273,1093	927,1021	62,116	1265,1660	1391,1520	165,326	305,436	472.5,472.5	805,1263
Kawagoe	7	18	40.21333333	60401.5	1502.026691	10.55269473	153,1844	541,1760	1,1713	452,1640	62,1869	167,1457	339,1867	762,1741	256,1836	45,1844	49,1867	94,1896	678,1898	80,1376	560,1685	200,1877	123,1220	49,1836	16,815	22,1646	19,1693	245,1771	313,1251	956,1720	273,1741	13,1200	169,1880	29,1706	73,1468	602,1871	112,1319	435,1657	209,1543	201,1829	150.5,1844	192,1655.5	8,1803.5	23,1876	569.5,1773	26.5,1630	227.5,978.5	863,1761	527,1489	237.5,1807	954.5,1724	8,1867	226,1728	139,1671	12,972	27,1399	289,1784	79,1244	12,996	79,1167	127,1705	17,1291	472.5,1288	66,574
Chuo/Seibu lines	7	7	17.78285714	231498.4286	13018.06716	13.66822764	1542,1888	11,290	1722,1870	1683,1872	319,1296	32,1036	27,1163	1778,1894	1712,1872	1482,1869	95,524	23,92	138,246	183,376	123,713	1303,1848	43,1552	107,1826	49,1381	517,1776	416,1779	36,863	56,213	1781,1884	665,1843	150,869	1,90	196,1704	417,1624	916,1345	206,476	128,587	480,1134	1386,1871	1542,1888	93,713	92,1799	1376,1715	1816,1898	1731,1885	70,227.5	36.5,383.5	1737.5,1881	233,1310	1785.5,1888	502,1477	186,516	294,1126	806,1631	141,1126	1343,1814	13,142	95,359	146,1296	8,1269	619,1365	472.5,472.5	74,184
Nakatsu	6	6	219.35	35886.66667	163.6045893	7.354069408	340,1440	603,1102	513,1274	371,1532	570,1561	428,1735	375,1170	423,1121	339,1056	101,544	257,1094	542,1217	671,1393	892,1616	217,556	430,1665	231,1257	259,1551	525,1552	147,1460	147,1515	931,1593	457,1605	398,870	262,945	671,1467	855,1453	241,1375	98,1544	240,1745	1220,1689	941,1666	209,1710	254,1594	337.5,1440	770.5,1505.5	396,1455.5	189.5,1376	660,1456	547,1384	596,1430	1038.5,1641.5	594.5,969	96,1731	397,868.5	544.5,1876.5	509,1489	465,1710	1238,1452	190,932	289,1649	486,1659	107,1839	169,1330	377,1230	162,1021	472.5,1480	111,1620
Nakatsugawa	3	3	465.51	48014.66667	103.1442217	6.688519192	226,1437	1023,1555	392,1017	284,878	627,1257	201,1316	480,1147	231,885	284,933	223,924	669,913	517,802	753,1030	1072,1741	1183,1665	169,1125	1414,1780	1319,1548	1177,1747	241,1197	326,1511	973,1621	653,1027	831,1199	1063,1135	1074,1589	1000,1527	519,1282	1016,1209	240,985	1187,1870	1003,1793	209,586	304,1465.5	223,1437	949,1684	966,1209	605.5,986	189,673.5	572,1040.5	781.5,1101.5	1591.5,1792.5	398.5,726	247,1655	832,1198	208,1590	597,1465	1055,1462	561,1149	1467,1800	1176,1400	1164,1425	952,1453	1194,1403	809,1731	1159,1543	965,1628	1168,1657
Gojoo/Hashimoto	9	10	216.588	14179.7	65.46853935	6.032729887	11,1342	55,1214	91,1452	238,1733	1,846	11,1193	31,1749	34,1354	17,941	5,1616	39,1766	10,1728	9,1705	669,1883	47,1823	21.5,754	598,1881	162,1828	871,1896	20,870	22,1541	71,1216	374,1577	280,1254	413,1781	703,1892	600,1794	552.5,1870	36,1856	240,1706	28,1890	128,1809	209,1853	5.5,1254.5	9,1341	2,1613	165.5,1769.5	17.5,913.5	4,1199	278.5,1805	596,1685	77.5,1761	398.5,1826.5	41.5,1424	280,1253.5	96.5,844.5	717,1889	380,1883	926,1807	984,1888	289,1615	636,1893	459,1884	792,1894	731,1888	390,1846	472.5,1828	589,1896
Imabari/Niihama	5	4	395.78	126799.25	320.3781141	8.323631786	1478,1708	374,845	287,567	140,294	859,1326	786,1274	572,1389	658,982	991,1142	343,1010	343,975	739,1098	1001,1756	878,1126	194,737	1192,1458	798,1375	1094,1521	845,1287	1044,1665	876,1272	1707,1774	323,1113	782,1203	1038,1495	391,915	673,968	735,1106	984,1235	795,1314	928,1052	916,1251	1286,1731	1598,1773	1478,1708	1026,1373	1121,1446	913.5,1198.5	884,1212	935.5,1309	373.5,978.5	1415,1761	527,1202.5	617.5,1430.5	781,1205	36,1800	319,410	274,719	777,1015	155,613	1301,1804	415,922	884,1226	517,1280	158,803	232,1208	957,1159	602,1075
Hita	6	4	318.9925	26211.25	82.16885977	6.360519842	95,1377	1052,1438	507,1149	673,1382	177,1284	256,1104	499,1577	282,758	31,717	341,978	1014,1840	916,1690	125,1463	1181,1775	1097,1460	569,793	1383,1806	713,1409	1255,1883	180,1183	195,1375	327,977	951,1651	61,477	43,806	996,1770	582,954	1273,1672	724,1615	240,1664	1195,1863	1286,1671	209,1848	98.5,1462	94.5,1376.5	955.5,1395	652,1397	77.5,749	302,625	390,944.5	1160.5,1761.5	312,1591.5	163.5,1092.5	94,1225	62,476.5	502,1315.5	765,1832	922,1836	663,1649	835,1746	289,1492	1121,1596	854,1749	844,1770	533,1777	1112,1660	1542,1721	554,1830
Hitachi	2	5	203.048	75137.8	370.0494464	8.531574248	971,1747	657,1370	137,1576	122,1250	164,1821	732,1790	468,1798	697,1258	453,1805	774,1832	34,1777	87,1805	603,1260	280,1198	187,901	590,1647	293,782	159,1662	285,1105	471,1412	405,1268	792,1756	290,941	858,1570	511,1873	270,1196	1273,1705	149,1313	224,609	779,1145	193,827	377,1472	838,1593	874,1764	973,1747	296.5,934	227.5,1718.5	458.5,1814	771.5,1392	193,1193.5	373.5,1310	774,1852	293.5,1442.5	222,1661	858,1573.5	65,1697	248,1098	487,1428	281,484	52,1373	777,1338	336,1043	401,1044	155,1797	758,1045	9,1662	472.5,1012	139,1062
Kisarazu	2	3	220.9633333	88755.66667	401.6759945	8.649888433	1187,1596	632,1130	752,1453	503,904	254,1345	385,1133	976,1531	744,1374	827,1458	653,1125	520,1234	782,1405	892,1781	537,1172	361,1213	1090,1729	497,917	716,1285	342,933	532,1549	577,1332	1031,1796	603,987	1054,1480	1173,1765	108,383	1244,1568	379,903	463,1285	240,667	240,965	780,923	698,1194	1059,1572	1187,1596	373.5,997	489.5,1054.5	853.5,1765.5	928,1362	534,944.5	696,1043.5	774,1206	1092.5,1442.5	1101,1364.5	1054.5,1485.5	359.5,940	370,1001	381,747	226,325	728,923	289,1067	345,652	451,502	284,919	299,1291	848,1244	1096,1286	143,164
Mito	2	10	183.915	75691.5	411.5569693	8.684948337	723,1812	602,1649	29,1440	48,1307	101,1651	162,1748	769,1736	355,1448	96,1695	634,1672	325,1847	267,1809	387,1189	255,1691	393,1585	389,1546	324,1672	91,1781	482,1802	167,1852	175,1794	522,1718	631,1840	350,1505	354,1583	170,1047	1283,1853	125,1177	153,1262	240,1338	267,1173	380,1782	665,1660	547.5,1811	722.5,1812	258,1629.5	74,1820	224,1644	434,1513	100,1558	491,1803	256.5,1415	131.5,1737.5	513,1818	350,1509	323.5,1794.5	242,1137	87,1118	117,1070	118,1388	289,1602	406,1281	216,1597	184,1365	159,1399	204,1417	472.5,1126	292,1211
Sendai	1	37	183.4727027	60463.18919	329.548692	8.364347834	57,1817	141,1899	78,1845	85,1851	142,1852	179,1892	341,1891	212,1876	22,1826	72,1887	268,1846	107,1893	53,1747	5,1863	174,1690	81,1849	25,1760	2,1859	86,1844	63,1869	43,1765	84,1862	75,1872	53,1604	266,1881	1,1801	346,1719	157,1843	36,1621	240,1602	70,1762	387,1881	209,1785	226.5,1836	56.5,1817	7,1872	3,1860	102.5,1887	39,1648	10,1849.5	227.5,1725	36.5,1835	48.5,1881	47.5,1793	52,1606	25,1895	167,1874	64,1827	1,1617	6,1790	289,1811	233,1692	122,1890	75,1858	125,1677	72,1854	472.5,1864	22,1715
Kitakami/Ichinoseki	1	9	583.8922222	57780	98.95661871	6.6287243	338,1602	1320,1827	10,1193	101,1108	91,1549	71,1619	633,1666	174,1106	30,1437	645,1392	853,1778	634,1753	117,796	578,1837	1357,1736	65,1576	280,1411	520,1833	447,1374	152,1602	99,1546	421,1885	1044,1726	113,995	118,1525	497,1721	554,1343	571,1420	462,1550	240,1726	373,1845	845,1748	209,1657	345,1690	337.5,1602.5	820.5,1773	477.5,1834.5	91.5,1263.5	81.5,867.5	123,1384	978.5,1725	687.5,1687	13,796.5	241.5,1690.5	114,993	99.5,1460	311,1644	417,1702	107,1668	172,1656	689,1588	869,1798	410,1733	3,1607	600,1673	735,1706	1340,1875	850,1750
Handa	8	6	39.53833333	47123.83333	1191.851789	10.21898913	784,1564	986,1604	222,1610	165,1105	339,1760	505,1759	855,1858	992,1711	554,1651	487,1661	123,1183	105,1029	453,1614	207,1268	714,1782	428,1767	242,1733	582,1678	200,1708	444,1603	424,1730	843,1816	769,1401	955,1734	1006,1768	93,529	1003,1579	623,1562	179,1384	240,1307	607,1401	357,1381	209,1252	708,1615	783,1564	725.5,1126.5	159,1698	605.5,1876	1190,1596	138.5,1747.5	373.5,1542.5	774,1835	594.5,969	558.5,1717	954.5,1738	803.5,1771	316,878	102,945	183,686	229,1439	901,1767	279,1071	205,935	10,1281	154,1322	273,1172	472.5,472.5	40,406
Shimanto	5	6	260.3166667	16422.5	63.08662526	5.979262273	59,1043	164,493	232,1053	97,1094	126,995	116,1012	180,740	71,404	94,861	78,831	864,1694	586,1730	1493,1829	1208,1820	63,938	79,633	1178,1764	69,1360	1312,1806	12,1501	36,1672	51,614	751,1646	15,567	16,653	939,1789	339,1032	578,1662	135,1871	240,1798	1674,1858	670,1682	209,1847	50.5,1236.5	56.5,1043.5	1305.5,1631	471,1634	135,853.5	172,507.5	987,1597.5	1101.5,1788.5	153,687.5	293.5,1489	266.5,1116.5	15.5,566.5	218.5,1355.5	1110,1841	1037,1552	1415,1801	788,1836	289,1574	903,1628	334,1450	20,1890	512,1696	115,1886	1363,1882	1223,1779
Yokkaichi	4	6	118.7216667	101608.8333	855.8575379	9.741226862	431,1836	844,1441	1119,1868	710,1731	1505,1899	1141,1824	101,1438	942,1705	1309,1885	33,1373	1,915	2,394	56,957	127,628	9,1619	1711,1888	219,817	748,1750	320,603	478,1748	794,1593	1505,1880	292,882	1424,1642	1147,1876	69,1284	496,1827	66.5,816	102,1185	240,1719	636,1275	457,1649	209,1148	481.5,1853	430.5,1836	534.5,1722	365.5,1714	1556.5,1898	940,1502	491,1292.5	373.5,596	1484.5,1816	455,1030.5	762,1705.5	1424.5,1646	401.5,1870	231,1405	58,1654	160,872	101,1740	289,1311	387,789	136,1202	231,1823	260,1110	212,1418	472.5,1641	7,720
Hirosaki	1	14	239.3257143	33044.21429	138.0721432	7.109278467	47,1726	727,1852	23,659	23,716	84,677	102,1461	236,1611	67,1046	189,1016	554,1861	484,1866	555,1771	294,1661	815,1763	64,1774	21.5,1094	322,1407	112,1334	142,1615	3,1640	65,1596	6,974	1071,1732	6,592	19,737	513,1817	280,753	89,1807	36,1353	240,1589	1247,1866	601,1763	209,1393	45.5,1741	46,1726	206.5,1495.5	122.5,1704.5	116.5,853.5	35,1153	83.5,1509.5	1350.5,1851.5	202.5,1206	27,1202.5	45,1769	6,591.5	88,1733	300,1865	243,1867	639,1764	145,1768	289,1457	693,1747	34,1864	22,1373	399,1883	109,1772	472.5,1595	743,1801
